fare_id,route_id,origin_id,destination_id,contains_id
ADA,17,,,
Adult Fare,17,,,
Senior Fare,17,,,
Youth Fare,17,,,
ADA,49,,,
Adult Fare,49,,,
Senior Fare,49,,,
Youth Fare,49,,,
ADA,22,,,
Adult Fare,22,,,
Senior Fare,22,,,
Youth Fare,22,,,
ADA,23,,,
Adult Fare,23,,,
Senior Fare,23,,,
Youth Fare,23,,,
ADA,35,,,
Adult Fare,35,,,
Senior Fare,35,,,
Youth Fare,35,,,
ADA,29,,,
Adult Fare,29,,,
Senior Fare,29,,,
Youth Fare,29,,,
ADA,23X,,,
Adult Fare,23X,,,
Senior Fare,23X,,,
Youth Fare,23X,,,
ADA,36,,,
Adult Fare,36,,,
Senior Fare,36,,,
Youth Fare,36,,,
ADA,68,,,
Adult Fare,68,,,
Senior Fare,68,,,
Youth Fare,68,,,
ADA,228,,,
Adult Fare,228,,,
Senior Fare,228,,,
Youth Fare,228,,,
ADA,71X,,,
Adult Fare,71X,,,
Senior Fare,71X,,,
Youth Fare,71X,,,
ADA,219,,,
Adult Fare,219,,,
Senior Fare,219,,,
Youth Fare,219,,,
ADA,257,,,
Adult Fare,257,,,
Senior Fare,257,,,
Youth Fare,257,,,
ADA,245,,,
Adult Fare,245,,,
Senior Fare,245,,,
Youth Fare,245,,,
ADA,251,,,
Adult Fare,251,,,
Senior Fare,251,,,
Youth Fare,251,,,
ADA,233,,,
Adult Fare,233,,,
Senior Fare,233,,,
Youth Fare,233,,,
ADA,61,,,
Adult Fare,61,,,
Senior Fare,61,,,
Youth Fare,61,,,
ADA,154,,,
Adult Fare,154,,,
Senior Fare,154,,,
Youth Fare,154,,,
ADA,113,,,
Adult Fare,113,,,
Senior Fare,113,,,
Youth Fare,113,,,
ADA,125,,,
Adult Fare,125,,,
Senior Fare,125,,,
Youth Fare,125,,,
ADA,117,,,
Adult Fare,117,,,
Senior Fare,117,,,
Youth Fare,117,,,
ADA,145,,,
Adult Fare,145,,,
Senior Fare,145,,,
Youth Fare,145,,,
ADA,151,,,
Adult Fare,151,,,
Senior Fare,151,,,
Youth Fare,151,,,
ADA,149,,,
Adult Fare,149,,,
Senior Fare,149,,,
Youth Fare,149,,,
ADA,119,,,
Adult Fare,119,,,
Senior Fare,119,,,
Youth Fare,119,,,
ADA,139,,,
Adult Fare,139,,,
Senior Fare,139,,,
Youth Fare,139,,,
ADA,115,,,
Adult Fare,115,,,
Senior Fare,115,,,
Youth Fare,115,,,
ADA,122,,,
Adult Fare,122,,,
Senior Fare,122,,,
Youth Fare,122,,,
