runs_id,service_id,block_id,run_number,piece_number,start_trip_id,start_stop_id,end_trip_id,end_stop_id
100001,c_15272_b_16054_d_31,1001,1,1,t_286764_b_16054_tn_0,40430,t_286786_b_16054_tn_0,40113
100002,c_15272_b_16054_d_31,1002,2,1,t_286766_b_16054_tn_0,40430,t_286788_b_16054_tn_0,40113
100003,c_15272_b_16054_d_31,1003,3,1,t_286768_b_16054_tn_0,40430,t_286798_b_16054_tn_0,40113
100004,c_15272_b_16054_d_31,1004,4,1,t_286770_b_16054_tn_0,40430,t_287861_b_16054_tn_0,40158
100005,c_15272_b_16054_d_31,1005,5,1,t_286785_b_16054_tn_0,40113,t_286808_b_16054_tn_0,40113
100006,c_15272_b_16054_d_31,1006,6,1,t_286787_b_16054_tn_0,40113,t_286810_b_16054_tn_0,40113
100007,c_15272_b_16054_d_31,1007,7,1,t_286789_b_16054_tn_0,40113,t_286809_b_16054_tn_0,40430
100008,c_15272_b_16054_d_31,1008,8,1,t_286791_b_16054_tn_0,40113,t_286807_b_16054_tn_0,40430
100009,c_15272_b_16054_d_31,1009,9,1,t_287807_b_16054_tn_0,40158,t_287546_b_16054_tn_0,40430
100010,c_15272_b_16054_d_31,1010,10,1,t_287811_b_16054_tn_0,40158,t_287837_b_16054_tn_0,40158
100011,c_15272_b_16054_d_31,1011,11,1,t_287840_b_16054_tn_0,40158,t_287865_b_16054_tn_0,40158
100012,c_15272_b_16054_d_31,1012,12,1,t_287826_b_16054_tn_0,40158,t_287665_b_16054_tn_0,40430
100013,c_15272_b_16054_d_31,1013,13,1,t_287670_b_16054_tn_0,41350,t_287552_b_16054_tn_0,40430
100014,c_15272_b_16054_d_31,1014,14,1,t_287537_b_16054_tn_0,40430,t_287554_b_16054_tn_0,40430
100015,c_15272_b_16054_d_31,1015,15,1,t_287553_b_16054_tn_0,40430,t_287561_b_16054_tn_0,40513
100016,c_15272_b_16054_d_31,1016,16,1,t_287607_b_16054_tn_0,40583,t_287651_b_16054_tn_0,40430
100017,c_15272_b_16054_d_31,1017,17,1,t_287592_b_16054_tn_0,40430,t_287608_b_16054_tn_0,40584
100018,c_15272_b_16054_d_31,1018,18,1,t_287725_b_16054_tn_0,40430,t_287683_b_16054_tn_0,41317
100019,c_15272_b_16054_d_31,1019,19,1,t_287733_b_16054_tn_0,40430,t_287748_b_16054_tn_0,40430
100020,c_15272_b_16054_d_31,1020,20,1,t_287739_b_16054_tn_0,40430,t_287562_b_16054_tn_0,40430
100021,c_15272_b_16054_d_31,1021,21,1,t_287672_b_16054_tn_0,40697,t_287685_b_16054_tn_0,41317
100022,c_15272_b_16054_d_31,1022,22,1,t_287674_b_16054_tn_0,40697,t_287687_b_16054_tn_0,41317
100023,c_15272_b_16054_d_31,1023,23,1,t_287692_b_16054_tn_0,41317,t_287695_b_16054_tn_0,41317
100024,c_15272_b_16054_d_31,1024,24,1,t_287694_b_16054_tn_0,41317,t_287697_b_16054_tn_0,41317
100025,c_15272_b_16054_d_31,1025,25,1,t_287640_b_16054_tn_0,40728,t_287653_b_16054_tn_0,40430
100026,c_15272_b_16054_d_31,1026,26,1,t_287641_b_16054_tn_0,40728,t_287655_b_16054_tn_0,40430
100027,c_15272_b_16054_d_31,1027,27,1,t_287656_b_16054_tn_0,40430,t_287667_b_16054_tn_0,40430
100028,c_15272_b_16054_d_31,1028,28,1,t_287658_b_16054_tn_0,40430,t_287669_b_16054_tn_0,40430
100029,c_15272_b_16054_d_31,1030,29,1,t_287209_b_16054_tn_0,40430,t_287216_b_16054_tn_0,40430
100030,c_15272_b_16054_d_31,1031,30,1,t_287208_b_16054_tn_0,40694,t_287221_b_16054_tn_0,40695
100031,c_15272_b_16054_d_31,1032,31,1,t_287210_b_16054_tn_0,40694,t_287231_b_16054_tn_0,40695
100032,c_15272_b_16054_d_31,1033,32,1,t_287212_b_16054_tn_0,40694,t_287245_b_16054_tn_0,40695
100033,c_15272_b_16054_d_31,1034,33,1,t_287214_b_16054_tn_0,40694,t_287239_b_16054_tn_0,40695
100034,c_15272_b_16054_d_31,1035,34,1,t_287228_b_16054_tn_0,40694,t_287248_b_16054_tn_0,40430
100035,c_15272_b_16054_d_31,1036,35,1,t_287232_b_16054_tn_0,40694,t_287249_b_16054_tn_0,40695
100036,c_15272_b_16054_d_31,1037,36,1,t_287234_b_16054_tn_0,40694,t_287251_b_16054_tn_0,40695
100037,c_15272_b_16054_d_31,1050,37,1,t_287292_b_16054_tn_0,41321,t_287295_b_16054_tn_0,41321
100038,c_15272_b_16054_d_31,1051,38,1,t_287296_b_16054_tn_0,41321,t_287299_b_16054_tn_0,41321
100039,c_15272_b_16054_d_31,1052,39,1,t_288342_b_16054_tn_0,40800,t_288355_b_16054_tn_0,40800
100040,c_15272_b_16054_d_31,1053,40,1,t_288343_b_16054_tn_0,40430,t_288348_b_16054_tn_0,40430
100041,c_15272_b_16054_d_31,1054,41,1,t_288349_b_16054_tn_0,40430,t_287325_b_16054_tn_0,40430
