stop_id,stop_city
451022,Sausalito
232723,San Anselmo
235571,Mt Tamalpais
232712,San Anselmo
233818,San Anselmo
232707,San Anselmo
233820,San Anselmo
232700,San Anselmo
233630,San Anselmo
232689,San Anselmo
233823,San Anselmo
498083,San Anselmo
498082,San Anselmo
498084,San Anselmo
498081,San Anselmo
233583,San Anselmo
232645,San Anselmo
233888,Fairfax
233642,Fairfax
256446,Fairfax
233637,Fairfax
233895,Fairfax
232775,Fairfax
229841,Terra Linda
229741,Terra Linda
229845,Terra Linda
229921,Terra Linda
229854,Terra Linda
229730,Terra Linda
238210,Terra Linda
238161,Terra Linda
483974,Terra Linda
483975,Terra Linda
483973,Terra Linda
483976,Terra Linda
483967,Terra Linda
483977,Terra Linda
483966,Terra Linda
229712,Terra Linda
238224,Terra Linda
229704,Terra Linda
484075,Terra Linda
484107,Terra Linda
229701,Terra Linda
229696,Terra Linda
229914,Terra Linda
352652,Terra Linda
352152,Terra Linda
352491,Terra Linda
352502,Terra Linda
229866,Terra Linda
229685,Terra Linda
229872,Terra Linda
229679,Terra Linda
229881,Terra Linda
229672,Terra Linda
1876394,Terra Linda
1876667,Terra Linda
483942,Terra Linda
483914,San Marin
483993,San Marin
483913,San Marin
483911,San Marin
483910,San Marin
483908,San Marin
483907,San Marin
483912,San Marin
483906,San Marin
483903,San Marin
483902,San Marin
483800,San Marin
483799,San Marin
483801,San Marin
483798,San Marin
483802,San Marin
483797,San Marin
483803,San Marin
483796,San Marin
483804,San Marin
483795,San Marin
483805,San Marin
483794,San Marin
483850,Novato
483793,Novato
483807,Novato
483792,Novato
483808,Novato
483791,Novato
483809,Novato
483790,Novato
484449,Novato
483940,Novato
483831,Ignacio
483761,Ignacio
483832,Ignacio
483760,Ignacio
483833,Ignacio
483759,Ignacio
484440,Ignacio
483834,Ignacio
483757,Ignacio
483835,Ignacio
483756,Ignacio
483836,Ignacio
483755,Ignacio
483837,Ignacio
484459,Ignacio
526451,Ignacio
484009,Ignacio
483843,Ignacio
483870,Ignacio
483838,Ignacio
1567578,Ignacio
484008,Ignacio
484381,Novato
484373,Novato
2505827,Novato
2503869,Novato
229837,Marinwood
229937,Marinwood
229839,Marinwood
229932,Marinwood
526446,Lucas Valley
484086,Lucas Valley
484093,Lucas Valley
233565,San Anselmo
483788,Novato
483811,Novato
2504922,Novato
2505825,Novato
2962965,Novato
2962126,Novato
2498722,San Rafael
2498871,San Rafael
2498721,San Rafael
2498720,San Rafael
2498872,San Rafael
2498719,San Rafael
2498854,San Rafael
2498723,San Rafael
71781,San Rafael
526438,San Rafael
526431,San Rafael
526437,San Rafael
526432,San Rafael
526433,San Rafael
526436,San Rafael
526435,San Rafael
233595,San Rafael
232631,San Rafael
483724,Larkspur
238193,Marinwood
2452018,San Rafael
483683,Mill Valley
483719,Mill Valley
484058,Mill Valley
483718,Mill Valley
484051,Mill Valley
483716,Mill Valley
484052,Mill Valley
483715,Mill Valley
235344,Tam Valley
445901,Marin City
310148,Marin City
445900,Marin City
310145,Marin City
450202,Marin City
258811,Sausalito
258813,Sausalito
71815,San Rafael
71764,San Rafael
71809,San Rafael
2498718,San Rafael
233589,San Rafael
232640,San Rafael
483812,Novato
483787,Novato
483813,Novato
483786,Novato
483814,Novato
483785,Novato
483817,Novato
483775,Novato
483818,Novato
483774,Novato
484454,Novato
484443,Novato
484455,Novato
484442,Novato
484456,Novato
484441,Novato
483819,Novato
483773,Novato
483820,Novato
483772,Novato
483821,Novato
483771,Novato
483825,Ignacio
483770,Novato
483822,Ignacio
483823,Ignacio
483824,Ignacio
483826,Ignacio
71910,Santa Venetia
237327,Santa Venetia
238265,Santa Venetia
71875,Santa Venetia
71912,Santa Venetia
71874,Santa Venetia
229633,San Rafael
1876666,Marinwood
1876395,Marinwood
484081,Lucas Valley
484089,Lucas Valley
484090,Lucas Valley
484092,Lucas Valley
484083,Lucas Valley
484088,Lucas Valley
484084,Lucas Valley
484080,Lucas Valley
484085,Lucas Valley
229832,Marinwood
483766,Ignacio
483765,Ignacio
483828,Ignacio
483764,Ignacio
483829,Ignacio
483763,Ignacio
483830,Ignacio
483762,Ignacio
235338,Mill Valley
235065,Mill Valley
235124,Tam Valley
235269,Tam Valley
483679,Mill Valley
483685,Strawberry
254517,Tam Valley
254514,Mill Valley
484374,Novato
483988,Novato
483990,San Marin
483916,San Marin
445921,Larkspur
307243,Kentfield
498042,Kentfield
483991,Novato
483915,Novato
2498849,San Rafael
2498850,San Rafael
2504921,Novato
2505826,Novato
71796,San Rafael
71801,San Rafael
71770,San Rafael
71774,San Rafael
483662,E Corte Madera
483655,E Corte Madera
484377,Novato
484378,Novato
484379,Novato
484380,Novato
513828,Novato
484012,Novato
480730,Novato
483845,Novato
484336,Novato
483753,Novato
258799,Sausalito
258815,Sausalito
258796,Sausalito
258819,Sausalito
258791,Sausalito
258785,Sausalito
258823,Sausalito
258827,Sausalito
258780,Sausalito
483720,Mill Valley
483682,Mill Valley
483721,Mill Valley
483681,Mill Valley
483680,Mill Valley
484062,Mill Valley
483694,Mill Valley
484050,Mill Valley
483695,Mill Valley
483678,Mill Valley
483696,Mill Valley
483677,Mill Valley
235311,Mill Valley
235301,Mill Valley
284564,Mill Valley
235329,Mill Valley
71737,San Rafael
71839,San Rafael
237365,San Rafael
71830,San Rafael
71746,San Rafael
71826,San Rafael
71750,San Rafael
71821,San Rafael
71756,San Rafael
237320,Corte Madera
237008,Bolinas
501364,Sausalito
484404,San Rafael
350529,San Rafael
484402,San Rafael
484403,San Rafael
484419,San Rafael
2498727,San Rafael
498047,Larkspur
498048,Larkspur
483879,Novato
1512445,Terra Linda
1869636,Kentfield
1915023,Larkspur
1915028,Larkspur
1915025,Larkspur
1915029,Larkspur
1915024,Larkspur
1915030,Larkspur
232810,San Geronimo
484047,E Corte Madera
445930,Kentfield
230032,E Corte Madera
1566566,Ignacio
483758,Ignacio
1877103,Kentfield
484082,Lucas Valley
484007,Marinwood
483737,Tiburon
258784,Sausalito
483725,Corte Madera
484015,Marinwood
484458,Ignacio
483693,Strawberry
71884,Santa Venetia
445904,Corte Madera
445916,Corte Madera
230040,Corte Madera
229991,E Corte Madera
230018,E Corte Madera
229994,E Corte Madera
230014,E Corte Madera
229997,E Corte Madera
230012,E Corte Madera
483659,E Corte Madera
483658,E Corte Madera
483660,E Corte Madera
233485,Fairfax
232768,Fairfax
233488,Fairfax
232764,Fairfax
233498,Fairfax
232743,Fairfax
233491,Fairfax
232759,Fairfax
233506,Fairfax
232730,Fairfax
229974,Terra Linda
229746,Terra Linda
483657,E Corte Madera
483661,E Corte Madera
483656,E Corte Madera
1568519,Corte Madera
1568520,E Corte Madera
445931,Larkspur
1877102,Larkspur
445932,Larkspur
1877100,Larkspur
445933,Larkspur
1877099,Larkspur
445910,Larkspur
445909,Larkspur
445911,Larkspur
445908,Larkspur
445912,Larkspur
445907,Larkspur
934571,Larkspur
937425,Larkspur
230294,Larkspur
237322,Larkspur
498090,Greenbrae
498091,Greenbrae
445925,Greenbrae
498052,Greenbrae
498051,Greenbrae
498043,Greenbrae
498041,Greenbrae
498044,Greenbrae
498040,Greenbrae
498045,Greenbrae
498039,Greenbrae
934403,Larkspur
233462,Woodacre
377779,S P Taylor
233427,San Geronimo
232822,San Geronimo
233410,San Geronimo
649928,Forest Knolls
233392,Forest Knolls
232856,Lagunitas
234030,Lagunitas
233988,S P Taylor
233175,Pt Reyes Stn
236812,Olema
233272,Point Reyes
237982,Inverness
233150,Inverness
233100,Inverness
