stop_id,stop_code,stop_name,stop_desc,stop_lat,stop_lon,zone_id,stop_url,location_type,parent_station,stop_timezone,wheelchair_boarding,platform_code,tts_stop_name
258780,40090,Bridgeway & Ebbtide St,,37.870314,-122.503727,,,0,,,1,,Bridgeway & Ebbtide Street
258827,40091,Bridgeway & Gate 5 Rd,,37.871113,-122.503827,,,0,,,1,,Bridgeway & Gate five road
258823,40092,Bridgeway & Nevada St,,37.865472,-122.499217,,,0,,,,,Bridgeway & Nevada Street
258785,40093,Bridgeway & Nevada St,,37.865288,-122.499358,,,0,,,1,,Bridgeway & Nevada Street
258791,40094,Bridgeway & Easterby St,,37.861795,-122.493869,,,0,,,,,Bridgeway & Easterby Street
258819,40095,Bridgeway & Easterby St,,37.861978,-122.49361,,,0,,,,,Bridgeway & Easterby Street
258796,40096,Bridgeway & Napa St,,37.861075,-122.489305,,,0,,,,,Bridgeway & Napa Street
258815,40097,Bridgeway & Napa St,,37.861524,-122.489819,,,0,,,,,Bridgeway & Napa Street
258799,40098,Bridgeway & Pine St,,37.859164,-122.485062,,,0,,,1,,Bridgeway & Pine Street
258813,40099,Bridgeway & Turney St,,37.859704,-122.485967,,,0,,,1,,Bridgeway & Turney Street
258811,40100,Bridgeway & Caledonia Av,,37.858565,-122.483241,,,0,,,1,,Bridgeway & Caledonia Avenue
451022,40103,Bay St & Bridgeway,,37.857136,-122.480469,,,0,,,1,,Bay Street & Bridgeway
450202,40113,Marin City Hub-Donahue & Terners,,37.87229955,-122.5115709,,,0,6181268,,1,,Muhrin City Hub-Donahue & Terners
310145,40119,Drake Av & Donahue St,,37.873631,-122.512413,,,0,,,,,Drake Avenue & Donahue Street
445900,40121,Drake Av & Buckelew St,,37.873203,-122.515457,,,0,,,1,,Drake Avenue & Buckelew Street
310148,40123,Drake Av & Cole Dr,,37.868587,-122.510612,,,0,,,,,Drake Avenue & Cole Drive
445901,40125,Drake Av & Donahue St,,37.871292,-122.509193,,,0,,,,,Drake Avenue & Donahue Street
235344,40128,Shoreline Hwy & Almonte Blvd,,37.881969,-122.525368,,,0,,,1,,Shoreline Highway & Almonte boulevard
483715,40129,E Blithedale Ave & Tower Dr,,37.903697,-122.519149,,,0,,,1,,East Blithedale Avenue & Tower Drive
484052,40130,E Blithedale Ave & Kipling Dr,,37.903475,-122.519193,,,0,,,1,,East Blithedale Avenue & Kipling Drive
483716,40131,E Blithedale Ave & Lomita Dr,,37.900954,-122.526499,,,0,,,1,,East Blithedale Avenue & Lomita Drive
484051,40132,E Blithedale Ave & Roque Moraes Dr,,37.900242,-122.527622,,,0,,,1,,East Blithedale Avenue & Rowk Morays Drive
483718,40133,E Blithedale Ave & Mesa Ave,,37.901848,-122.532641,,,0,,,,,East Blithedale Avenue & Mesa Avenue
484058,40134,E Blithedale Ave & Nelson Ave,,37.900676,-122.529928,,,0,,,,,East Blithedale Avenue & Nelson Avenue
483719,40135,E Blithedale Ave & Alta Vista Ave,,37.903578,-122.536343,,,0,,,,,East Blithedale Avenue & Alta Vista Avenue
483683,40136,E Blithedale Ave & Hilarita Ave,,37.901718,-122.532623,,,0,,,,,East Blithedale Avenue & Hilarita Avenue
483720,40137,E Blithedale Ave & East Dr,,37.903834,-122.538591,,,0,,,,,East Blithedale Avenue & East Drive
9021178,40138,E Blithedale Ave & Elm Ave,,37.903723,-122.537024,,,0,,,,,East Blithedale Avenue & Elm Avenue
483721,40139,E Blithedale Ave & Mountain View Ave,,37.905205,-122.543828,,,0,,,,,East Blithedale Avenue & Mountain View Avenue
483681,40140,E Blithedale Ave & Walnut Ave,,37.90374,-122.539534,,,0,,,1,,East Blithedale Avenue & Walnut Avenue
483680,40141,E Blithedale Ave & Hill St,,37.905269,-122.544169,,,0,,,1,,East Blithedale Avenue & Hill Street
484062,40142,Mill Valley Depot-Sunnyside Ave & Miller Ave,,37.905671,-122.547396,,,0,,,1,,Mill Valley Depot-Sunnyside Avenue & Miller Avenue
483694,40143,Miller Ave & Una Way,,37.901415,-122.541745,,,0,,,,,Miller Avenue & Una Way
484050,40144,Miller Ave & Park Ave,,37.901627,-122.541506,,,0,,,,,Miller Avenue & Park Avenue
483695,40145,Miller Ave & Montford Ave,,37.897521,-122.537163,,,0,,,1,,Miller Avenue & Montford Avenue
483678,40146,Miller Ave & Locust Ave,,37.898592,-122.538039,,,0,,,1,,Miller Avenue & Locust Avenue
483696,40147,Miller Ave & Reed St,,37.895106,-122.534407,,,0,,,1,,Miller Avenue & Reed Street
483677,40148,Miller Ave & Reed St,,37.895538,-122.534453,,,0,,,1,,Miller Avenue & Reed Street
235311,40149,Miller Ave & Camino Alto,,37.892826,-122.530473,,,0,,,1,,Miller Avenue & Camino Alto
235301,40150,Miller Ave & Camino Alto,,37.893722,-122.531458,,,0,,,1,,Miller Avenue & Camino Alto
284564,40151,Almonte Blvd & Miller Ave,,37.887197,-122.524822,,,0,,,1,,Almonte Boulevard & Miller Avenue
235329,40152,Almonte Blvd & Miller Ave,,37.887566,-122.524734,,,0,,,,,Almonte Boulevard & Miller Avenue
235338,40153,Almonte Blvd & Rosemont Ave,,37.883981,-122.524779,,,0,,,,,Almonte Boulevard & Rosemont Avenue
235065,40154,Almonte Blvd & Rosemont Ave,,37.883864,-122.524643,,,0,,,,,Almonte Boulevard & Rosemont Avenue
235124,40155,Tam Junction-Shoreline Hwy & Almonte Blvd,,37.881521,-122.524677,,,0,,,1,,Tam Junction-Shoreline Highway & Almonte boulevard
235269,40156,Tam Junction-Shoreline Hwy & Almonte Blvd,,37.881612,-122.524565,,,0,,,,,Tam Junction-Shoreline Highway & Almonte boulevard
483679,40157,Mill Valley Depot-Miller Ave & Sunnyside Ave,,37.905523,-122.547359,,,0,,,1,,Mill Valley Depot-Miller Avenue & Sunnyside Avenue
483685,40158,Reed Blvd & Belvedere Dr,NS-Reed Blvd & Belvedere Dr Northbound,37.898698,-122.513363,,,0,,,1,,Reed Boulevard & Belvedere Drive
254517,40160,Shoreline Hwy & Pine Hill Rd,,37.879578,-122.53492,,,0,,,,,Shoreline Highway & Pine Hill Road
254514,40162,Manzanita Park & Ride Lot,,37.879744,-122.516699,,,0,,,1,,Manzanita Park & Ride Lot
235039,40163,Shoreline Hwy & Pine St,,37.879524,-122.535179,,,0,,,,,Shoreline Highway & Pine Street
445917,40164,Hwy 101 @ Tiburon Wye Bus Pad,,37.903698,-122.516051,,,0,,,1,,Highway one o one at Tibur-on Wye Bus Pad
235041,40165,Shoreline Hwy & Laurel Way,,37.87896,-122.532593,,,0,,,,,Shoreline Highway & Laurel Way
235360,40166,Shoreline Hwy & Laurel Way,,37.879124,-122.532867,,,0,,,,,Shoreline Highway & Laurel Way
235046,40167,Shoreline Hwy & Ross Dr,,37.878979,-122.529488,,,0,,,,,Shoreline Highway & Ross Drive
235240,40169,Shoreline Hwy & Pohono St,,37.879671,-122.515221,,,0,,,1,,Shoreline Highway & Pohono Street
445903,40170,Hwy 101 @ Tiburon Wye Bus Pad,,37.901957,-122.515412,,,0,,,,,Highway one o one at Tibur-on Wye Bus Pad
484061,40171,Tiburon Blvd & Hwy 101 SB-Off Ramp,,37.902813,-122.514786,,,0,,,1,,Tibur-on Boulevard & Highway one o one Southbound-Off Ramp
483727,40172,Tiburon Blvd & Hwy 101 NB-Off Ramp,,37.902489,-122.513786,,,0,,,1,,Tibur-on Boulevard & Highway one o one Northbound-Off Ramp
483713,40173,Tiburon Blvd & Bay Vista Dr,,37.89925,-122.504532,,,0,,,,,Tibur-on Boulevard & Bay Vista Drive
483728,40175,Tiburon Blvd & N Knoll Rd,,37.90191680270236,-122.5109213,,,0,,,,,Tibur-on Boulevard & North Knoll Road
483714,40176,Tiburon Blvd & N Knoll Rd,,37.90220408419307,-122.5109077,,,0,,,1,,Tibur-on Boulevard & North Knoll Road
484358,40177,Tiburon Blvd & Strawberry Dr,,37.898905323500635,-122.5041461,,,0,,,,,Tibur-on Boulevard & Strawberry Drive
484060,40182,Reed Blvd & Redwood Hwy,,37.900894,-122.514938,,,0,,,,,Reed Boulevard & Redwood Highway
648954,40184,Redwood Hwy Frontage Rd & De Silva Island Dr,,37.88913,-122.516205,,,0,,,1,,Redwood Highway Frontage Road & De Silva Island Drive
1876876,40186,Redwood Hwy Frontage Rd & Hwy 101 SB Ramps,,37.889305,-122.517433,,,0,,,1,,Redwood Highway Frontage Road & Highway one o one Southbound Ramps
445918,40187,Hwy 101 @ Seminary Dr Bus Pad,,37.889494,-122.517111,,,0,,,1,,Highway one o one at Seminary Drive Bus Pad
445902,40188,Hwy 101 @ Seminary Dr Bus Pad,,37.888662,-122.516364,,,0,,,1,,Highway one o one at Seminary Drive Bus Pad
484070,40197,Beach Rd & San Rafael Av,,37.87307,-122.463295,,,0,,,1,,Beach Road & San Rafael Avenue
484069,40198,Beach Rd & Juanita Ln,,37.874721,-122.459679,,,0,,,,,Beach Road & Juanita Lane
483749,40199,Tiburon Blvd & Beach Rd,,37.875637,-122.459412,,,0,,,1,,Tibur-on Boulevard & Beach Road
483746,40200,Tiburon Blvd & Beach Rd,,37.87507947634172,-122.4588449,,,0,,,,,Tibur-on Boulevard & Beach Road
483748,40201,Tiburon Tiburon Blvd & Main St,,37.873861,-122.456139,,,0,,,1,,Tibur-on Boulevard & Main Street
483741,40202,Tiburon Blvd & Mar West St,,37.87701396993219,-122.461813,,,0,,,,,Tibur-on Boulevard & Mar West Street
483742,40203,Tiburon Blvd & Lyford Dr,,37.880646,-122.465065,,,0,,,,,Tibur-on Boulevard & Lyford Drive
483739,40204,Tiburon Blvd & Lyford Dr,,37.87993998895287,-122.4646134,,,0,,,1,,Tibur-on Boulevard & Lyford Drive
483743,40205,Tiburon Blvd & Neds Way,,37.88196236466284,-122.467334,,,0,,,,,Tibur-on Boulevard & Neds Way
483738,40206,Tiburon Blvd & Neds Way,,37.881870246548026,-122.4675641,,,0,,,1,,Tibur-on Boulevard & Neds Way
483744,40207,Tiburon Blvd & San Rafael Av,,37.88422270764501,-122.4720593,,,0,,,,,Tibur-on Boulevard & San Rafael Avenue
483745,40208,Tiburon Blvd & Gilmartin Dr,,37.88650168146439,-122.4746516,,,0,,,,,Tibur-on Boulevard & Gilmartin Drive
483736,40209,Tiburon Blvd & Gilmartin Dr,,37.886097,-122.474419,,,0,,,,,Tibur-on Boulevard & Gilmartin Drive
483689,40210,Tiburon Blvd & Rock Hill Dr,,37.889191,-122.477814,,,0,,,,,Tibur-on Boulevard & Rock Hill Drive
483690,40211,Tiburon Blvd & Rock Hill Dr,,37.888443939938675,-122.4774129,,,0,,,,,Tibur-on Boulevard & Rock Hill Drive
483691,40212,Tiburon Blvd & Avenida Miraflores,,37.892675134817914,-122.4830526,,,0,,,,,Tibur-on Boulevard & Avenida Miraflores
483688,40213,Tiburon Blvd & Pine Terrace,,37.89281718692171,-122.484041,,,0,,,,,Tibur-on Boulevard & Pine Terrace
483732,40214,Tiburon Blvd & Stewart Dr,,37.89464951787915,-122.4863161,,,0,,,,,Tibur-on Boulevard & Stewart Drive
483709,40215,Tiburon Blvd & Jefferson Dr,,37.89762643,-122.4893087,,,0,,,,,Tibur-on Boulevard & Jefferson Drive
483710,40216,Tiburon Blvd & Reed Ranch Rd,,37.89615036362503,-122.491707,,,0,,,,,Tibur-on Boulevard & Reed Ranch Road
483711,40217,Tiburon Blvd & Cecilia Way,,37.897766,-122.498741,,,0,,,,,Tibur-on Boulevard & Cecilia Way
483687,40218,Tiburon Blvd & Cecilia Way,,37.896681714317786,-122.4982663,,,0,,,,,Tibur-on Boulevard & Cecilia Way
483712,40219,Tiburon Blvd & Blackfield Dr,,37.898876842243666,-122.5018134,,,0,,,,,Tibur-on Boulevard & Blackfield Drive
484054,40220,Tiburon Blvd & Greenwood Beach Rd,,37.89752986680882,-122.4891132,,,0,,,1,,Tibur-on Boulevard & Greenwood Beach Road
483708,40223,Tiburon Blvd & Greenwood Cove Rd,,37.89840741,-122.5005385,,,0,,,1,,Tibur-on Boulevard & Greenwood Cove Road
483740,40224,Tiburon Blvd & Mar West St,,37.87707446434904,-122.4623622,,,0,,,1,,Tibur-on Boulevard & Mar West Street
1877101,40225,Magnolia Ave & Frances Ave,,37.94696,-122.546364,,,0,,,,,Magnolia Avenue & Frances Avenue
483731,40264,Tiburon Blvd & Stewart Dr,,37.89423573724373,-122.486133,,,0,,,,,Tibur-on Boulevard & Stewart Drive
483663,40265,Antilles Way & Martinique Av,,37.912491,-122.478134,,,0,,,,,Antilles Way & Martinique Avenue
2498587,40267,Hwy 101 @ Lucky Dr Bus Pad,,37.937926,-122.517021,,,0,,,1,,Highway one o one at Lucky Drive Bus Pad
2498017,40268,Hwy 101 @ Lucky Dr Bus Pad,,37.938685,-122.516101,,,0,,,1,,Highway one o one at Lucky Drive Bus Pad
230303,40269,Tamal Vista Blvd & Fifer Av,,37.93782,-122.518784,,,0,,,,,Tamil Vista Boulevard & Fifer Avenue
230063,40270,Tamal Vista Blvd & Fifer Av,,37.93780870195136,-122.5187141,,,0,,,,,Tamil Vista Boulevard & Fifer Avenue
230309,40271,Tamal Vista Blvd & Sandpiper Circle,,37.934067,-122.51841,,,0,,,,,Tamil Vista Boulevard & Sandpiper Circle
230056,40272,Tamal Vista Blvd & Sandpiper Circle,,37.934109,-122.518295,,,0,,,,,Tamil Vista Boulevard & Sandpiper Circle
230043,40274,Madera Blvd & Monona Dr,,37.928059,-122.518608,,,0,,,,,Madera Boulevard & Monona Drive
445913,40275,Redwood Av & Montecito Dr,,37.926357,-122.52951,,,0,,,1,,Redwood Avenue & Montecito Drive
445906,40276,Redwood Av & Montecito Dr,,37.926449,-122.529625,,,0,,,1,,Redwood Avenue & Montecito Drive
445914,40277,Tamalpais Dr & Eastman Av,,37.925297,-122.523697,,,0,,,,,Tamil pie is Drive & Eastman Avenue
445905,40278,Tamalpais Dr & Eastman Av,,37.925507,-122.523781,,,0,,,1,,Tamil pie is Drive & Eastman Avenue
445915,40279,Tamalpais Dr & Meadowsweet Dr,,37.925198,-122.521736,,,0,,,,,Tamil pie is Drive & Meadowsweet Drive
445904,40280,Tamalpais Dr & Madera Blvd,,37.925266,-122.518959,,,0,,,1,,Tamil pie is Drive & Madera boulevard
445916,40281,Tamalpais Dr & Casa Buena Dr,,37.92503,-122.518509,,,0,,,1,,Tamil pie is Drive & Casa Buena Drive
230040,40282,Madera Blvd & Mohawk Av,,37.926239,-122.518585,,,0,,,,,Madera Boulevard & Mohawk Avenue
229991,40283,Paradise Dr & Madera Del Presidio Av,,37.919998,-122.508621,,,0,,,,,Paradise Drive & Madera Del Presidio Avenue
230018,40284,Paradise Dr & Harbor Dr,,37.920216,-122.508881,,,0,,,,,Paradise Drive & Harbor Drive
