timetable_id,stop_id,stop_sequence
1,233498,0
1,233565,1
1,4891560,2
1,4891560,3
1,2498719,4
1,2498725,5
1,2498727,6
2,233498,0
2,233565,1
2,4891560,2
2,4891560,3
2,2498719,4
2,2498725,5
2,2498727,6
3,233498,0
3,233565,1
3,4891560,2
3,4891560,3
3,2498719,4
3,2498725,5
3,2498727,6
4,2498727,0
4,2498852,1
4,2498871,2
4,4891107,3
4,4891107,4
4,233565,5
4,232743,6
5,2498727,0
5,2498852,1
5,2498871,2
5,4891107,3
5,4891107,4
5,233565,5
5,232743,6
6,2498727,0
6,2498852,1
6,2498871,2
6,4891107,3
6,4891107,4
6,233565,5
6,232743,6
6,233642,7
7,233888,0
7,233498,1
7,233565,2
7,4891560,3
7,4891560,4
7,2498719,5
8,2498719,0
8,2498725,1
8,4892584,2
8,4892584,3
8,233565,4
8,232743,5
8,233642,6
9,450202,1
9,445902,2
9,445903,3
9,1568520,4
9,2498017,5
9,4891560,6
9,4891560,7
9,2505828,8
9,2498852,9
10,450202,1
10,445902,2
10,445903,3
10,1568520,4
10,2498017,5
10,4891560,6
10,4891560,7
10,2505828,8
10,2498852,9
11,450202,1
11,445902,2
11,445903,3
11,1568520,4
11,2498017,5
11,4891560,6
11,4891560,7
11,2505828,8
11,2498852,9
12,2498852,0
12,2498871,1
12,4890417,2
12,4890417,3
12,2498587,4
12,1568519,5
12,445917,6
12,445918,7
12,4953155,8
13,2498852,0
13,2498871,1
13,4890417,2
13,4890417,3
13,2498587,4
13,1568519,5
13,445917,6
13,445918,7
13,4953155,8
14,2498852,0
14,2498871,1
14,4890417,2
14,4890417,3
14,2498587,4
14,1568519,5
14,445917,6
14,445918,7
14,4953155,8
15,307243,0
15,498045,1
15,498046,2
15,4891560,3
15,4891560,4
15,2498719,5
16,2498719,0
16,2498725,1
16,4890417,2
16,4890417,3
16,498046,4
16,498039,5
16,445929,6
16,307243,7
17,2498852,0
17,2498871,1
17,70123,2
17,70123,3
17,350325,4
17,484419,5
17,352104,6
17,229679,7
17,1876395,8
17,484007,9
17,484440,10
17,2962965,11
17,483940,12
18,2498852,0
18,2498871,1
18,70123,2
18,70123,3
18,350325,4
18,484419,5
18,352104,6
18,229679,7
18,1876395,8
18,484007,9
18,484440,10
18,2962965,11
18,483940,12
19,2498852,0
19,2498871,1
19,70123,2
19,70123,3
19,350325,4
19,484419,5
19,352104,6
19,229679,7
19,1876395,8
19,484007,9
19,484440,10
19,2962965,11
19,483940,12
20,484449,0
20,2962126,1
20,484458,2
20,484015,3
20,1876666,4
20,229872,5
20,352558,6
20,229633,7
20,350697,8
20,4891560,9
20,4891560,10
20,2505828,11
20,2498852,12
21,484449,0
21,2962126,1
21,484458,2
21,484015,3
21,1876666,4
21,229872,5
21,352558,6
21,229633,7
21,350697,8
21,4891560,9
21,4891560,10
21,2505828,11
21,2498852,12
22,484449,0
22,2962126,1
22,484458,2
22,484015,3
22,1876666,4
22,229872,5
22,352558,6
22,229633,7
22,350697,8
22,4891560,9
22,4891560,10
22,2505828,11
22,2498852,12
75,451022,0
75,450202,1
75,70123,2
75,70123,3
75,484440,4
75,2962965,5
75,483940,6
76,484449,0
76,2962126,1
76,484458,2
76,4890417,3
76,4890417,4
76,4953155,5
76,451022,6
156,483748,0
156,484070,1
156,483732,2
156,1568520,3
156,483724,4
157,483748,0
157,484070,1
157,483732,2
157,1568520,3
157,483724,4
158,483748,0
158,484070,1
158,483732,2
158,1568520,3
158,483724,4
159,483748,0
159,484070,1
159,483732,2
159,1568520,3
159,483724,4
160,483748,0
160,484070,1
160,483732,2
160,1568520,3
160,483724,4
