route_id,service_id,trip_id,trip_headsign,trip_short_name,direction_id,block_id,shape_id,wheelchair_accessible,bikes_allowed
219,SunHol,219801,Tiburon,,0,8017,1,,
219,SunHol,219802,Strawberry,,1,8017,2,,
219,SunHol,219803,Tiburon,,0,8017,1,,
219,SunHol,219804,Strawberry,,1,8017,2,,
219,SunHol,219805,Tiburon,,0,8017,1,,
219,SunHol,219806,Strawberry,,1,8017,2,,
219,SunHol,219807,Tiburon,,0,8017,1,,
219,SunHol,219808,Strawberry,,1,8017,2,,
219,SunHol,219809,Tiburon,,0,8017,1,,
219,SunHol,219810,Strawberry,,1,8017,2,,
219,SunHol,219811,Tiburon,,0,8017,1,,
219,SunHol,219812,Strawberry,,1,8017,2,,
219,SunHol,219813,Tiburon,,0,8017,1,,
219,SunHol,219814,Strawberry,,1,8017,2,,
219,SunHol,219815,Tiburon,,0,8017,1,,
219,SunHol,219816,Strawberry,,1,8017,2,,
219,SunHol,219817,Tiburon,,0,8017,1,,
219,SunHol,219818,Strawberry,,1,8017,2,,
219,SunHol,219819,Tiburon,,0,8017,1,,
219,SunHol,219820,Strawberry,,1,8017,2,,
219,SunHol,219821,Tiburon,,0,8017,1,,
219,SunHol,219822,Strawberry,,1,8017,2,,
219,SunHol,219823,Tiburon,,0,8017,1,,
219,SunHol,219824,Strawberry,,1,8017,2,,
219,SunHol,219825,Tiburon,,0,8017,1,,
219,SunHol,219826,Strawberry,,1,8017,2,,
219,SunHol,219827,Tiburon,,0,8017,1,,
219,SunHol,219828,Strawberry,,1,8017,2,,
219,SunHol,219829,Tiburon,,0,8017,1,,
219,SunHol,219830,Strawberry,,1,8017,2,,
219,SunHol,219831,Tiburon,,0,8017,1,,
219,SunHol,219832,Strawberry,,1,8017,2,,
219,SunHol,219833,Tiburon,,0,8017,1,,
219,SunHol,219834,Strawberry,,1,8017,2,,
228,SunHol,228802,San Rafael,,0,8018,3,,
228,SunHol,228803,Fairfax Manor,,1,8018,4,,
228,SunHol,228806,San Rafael,,0,8018,3,,
228,SunHol,228807,Fairfax Manor,,1,8018,4,,
228,SunHol,228810,San Rafael,,0,8018,3,,
228,SunHol,228811,Fairfax Manor,,1,8018,4,,
228,SunHol,228814,San Rafael,,0,8018,3,,
228,SunHol,228815,Fairfax Manor,,1,8018,4,,
228,SunHol,228818,San Rafael,,0,8018,3,,
228,SunHol,228819,Fairfax Manor,,1,8018,4,,
228,SunHol,228822,San Rafael,,0,8018,3,,
228,SunHol,228823,Fairfax Manor,,1,8018,4,,
228,SunHol,228826,San Rafael,,0,8018,3,,
228,SunHol,228804,San Rafael,,0,8019,3,,
228,SunHol,228805,Fairfax Manor,,1,8019,4,,
228,SunHol,228808,San Rafael,,0,8019,3,,
228,SunHol,228809,Fairfax Manor,,1,8019,4,,
228,SunHol,228812,San Rafael,,0,8019,3,,
228,SunHol,228813,Fairfax Manor,,1,8019,4,,
228,SunHol,228816,San Rafael,,0,8019,3,,
228,SunHol,228817,Fairfax Manor,,1,8019,4,,
228,SunHol,228820,San Rafael,,0,8019,3,,
228,SunHol,228821,Fairfax Manor,,1,8019,4,,
228,SunHol,228824,San Rafael,,0,8019,3,,
228,SunHol,228825,Fairfax Manor,,1,8019,4,,
233,SunHol,233819,San Rafael,,1,8020,5,,
245,SunHol,245802,Smith Ranch Rd,,0,8020,6,,
245,SunHol,245803,San Rafael via HHS,,1,8020,7,,
233,SunHol,233804,Santa Venetia,,0,8020,8,,
233,SunHol,233803,San Rafael,,1,8020,5,,
245,SunHol,245806,Smith Ranch Rd,,0,8020,6,,
245,SunHol,245807,San Rafael via HHS,,1,8020,7,,
233,SunHol,233808,Santa Venetia,,0,8020,8,,
233,SunHol,233807,San Rafael,,1,8020,5,,
245,SunHol,245810,Smith Ranch Rd,,0,8020,6,,
245,SunHol,245811,San Rafael via HHS,,1,8020,7,,
233,SunHol,233810,Santa Venetia,,0,8020,8,,
233,SunHol,233809,San Rafael,,1,8020,5,,
245,SunHol,245814,Smith Ranch Rd,,0,8020,6,,
245,SunHol,245815,San Rafael via HHS,,1,8020,7,,
233,SunHol,233814,Santa Venetia,,0,8020,8,,
233,SunHol,233813,San Rafael,,1,8020,5,,
245,SunHol,245818,Smith Ranch Rd,,0,8020,6,,
245,SunHol,245819,San Rafael via HHS,,1,8020,7,,
233,SunHol,233818,Santa Venetia,,0,8020,8,,
233,SunHol,233817,San Rafael,,1,8020,5,,
245,SunHol,245822,Smith Ranch Rd,,0,8020,6,,
245,SunHol,245823,San Rafael via HHS,,1,8020,7,,
245,SunHol,245800,Smith Ranch Rd,,0,8021,6,,
245,SunHol,245801,San Rafael via HHS,,1,8021,7,,
233,SunHol,233802,Santa Venetia,,0,8021,8,,
233,SunHol,233801,San Rafael,,1,8021,5,,
245,SunHol,245804,Smith Ranch Rd,,0,8021,6,,
245,SunHol,245805,San Rafael via HHS,,1,8021,7,,
233,SunHol,233806,Santa Venetia,,0,8021,8,,
233,SunHol,233805,San Rafael,,1,8021,5,,
245,SunHol,245808,Smith Ranch Rd,,0,8021,6,,
245,SunHol,245809,San Rafael via HHS,,1,8021,7,,
245,SunHol,245812,Smith Ranch Rd,,0,8021,6,,
245,SunHol,245813,San Rafael via HHS,,1,8021,7,,
233,SunHol,233812,Santa Venetia,,0,8021,8,,
233,SunHol,233811,San Rafael,,1,8021,5,,
245,SunHol,245816,Smith Ranch Rd,,0,8021,6,,
245,SunHol,245817,San Rafael via HHS,,1,8021,7,,
233,SunHol,233816,Santa Venetia,,0,8021,8,,
233,SunHol,233815,San Rafael,,1,8021,5,,
245,SunHol,245820,Smith Ranch Rd,,0,8021,6,,
245,SunHol,245821,San Rafael via HHS,,1,8021,7,,
68,SunHol,68801,San Rafael via Bear Valley Visitor Center,,0,8055,9,,
68,SunHol,68804,Inverness,,1,8055,10,,
68,SunHol,68805,San Rafael via Bear Valley Visitor Center,,0,8055,9,,
68,SunHol,68808,Inverness,,1,8055,10,,
68,SunHol,68802,Inverness,,1,8056,10,,
68,SunHol,68803,San Rafael via Bear Valley Visitor Center,,0,8056,9,,
68,SunHol,68806,Inverness,,1,8056,10,,
68,SunHol,68807,San Rafael via Bear Valley Visitor Center,,0,8056,9,,
57,SunHol,57816,Hamilton without Indian Valley,,1,8056,11,,
68,SunHol,68810,Inverness,,1,8057,10,,
68,SunHol,68809,San Rafael via Bear Valley Visitor Center,,0,8057,9,,
68,SunHol,68814,Inverness,,1,8057,10,,
68,SunHol,68813,San Rafael via Bear Valley Visitor Center,,0,8057,9,,
68,SunHol,68818,Woodacre,,1,8057,12,,
68,SunHol,68817,San Rafael via Woodacre,,0,8057,13,,
68,SunHol,68812,Inverness,,1,8058,10,,
68,SunHol,68811,San Rafael via Bear Valley Visitor Center,,0,8058,9,,
68,SunHol,68816,Woodacre,,1,8058,12,,
68,SunHol,68815,San Rafael via Woodacre,,0,8058,13,,
68,SunHol,68820,Woodacre,,1,8058,12,,
68,SunHol,68819,San Rafael via Woodacre,,0,8058,13,,
61,SunHol,61802,Bolinas,,1,8051,14,,
61,SunHol,61801,Sausalito,,0,8051,15,,
61,SunHol,61806,Bolinas,,1,8051,14,,
61,SunHol,61805,Sausalito,,0,8051,15,,
61,SunHol,61804,Bolinas,,1,8052,14,,
61,SunHol,61803,Sausalito,,0,8052,15,,
61,SunHol,61810,Bolinas,,1,8052,14,,
61,SunHol,61809,Sausalito,,0,8052,15,,
61,SunHol,61808,Bolinas,,1,8053,14,,
61,SunHol,61807,Sausalito,,0,8053,15,,
61,SunHol,61816,Bolinas,,1,8053,14,,
61,SunHol,61815,Sausalito,,0,8053,15,,
57,SunHol,57823,Novato without Indian Valley,,0,8053,16,,
61,SunHol,61812,Stinson Beach,,1,8054,17,,
61,SunHol,61811,Pantoll via Stinson,,0,8054,18,,
61,SunHol,61814,Bolinas via Pantoll,,1,8054,19,,
61,SunHol,61813,Sausalito,,0,8054,15,,
30,SunHol,30809,Canal via San Rafael,,1,8054,20,,
30,SunHol,30812,San Rafael via Canal,,0,8054,21,,
30,SunHol,30811,Canal via San Rafael,,1,8054,20,,
30,SunHol,30814,San Rafael via Canal,,0,8054,21,,
30,SunHol,30813,Canal via San Rafael,,1,8054,20,,
30,SunHol,30816,San Rafael via Canal,,0,8054,21,,
30,SunHol,30815,Canal via San Rafael,,1,8054,20,,
30,SunHol,30818,San Rafael via Canal,,0,8054,21,,
30,SunHol,30802,San Rafael via Canal,,0,8013,21,,
30,SunHol,30801,Canal via San Rafael,,1,8013,20,,
30,SunHol,30804,San Rafael via Canal,,0,8013,21,,
30,SunHol,30803,Canal via San Rafael,,1,8013,20,,
30,SunHol,30806,San Rafael via Canal,,0,8013,21,,
30,SunHol,30805,Canal via San Rafael,,1,8013,20,,
30,SunHol,30808,San Rafael via Canal,,0,8013,21,,
30,SunHol,30807,Canal via San Rafael,,1,8013,20,,
30,SunHol,30810,San Rafael via Canal,,0,8013,21,,
71,SunHol,71801,Marin City,,1,8001,22,,
71,SunHol,71804,Novato,,0,8001,23,,
71,SunHol,71811,Marin City,,1,8001,22,,
71,SunHol,71814,Novato,,0,8001,23,,
71,SunHol,71821,Marin City,,1,8001,22,,
71,SunHol,71824,Novato,,0,8001,23,,
71,SunHol,71831,Marin City,,1,8001,22,,
71,SunHol,71834,Novato,,0,8001,23,,
71,SunHol,71803,Marin City,,1,8002,22,,
71,SunHol,71806,Novato,,0,8002,23,,
49,SunHol,49801,San Rafael,,1,8002,24,,
49,SunHol,49806,Novato,,0,8002,25,,
71,SunHol,71802,Novato,,0,8003,23,,
71,SunHol,71809,Marin City,,1,8003,22,,
71,SunHol,71812,Novato,,0,8003,23,,
57,SunHol,57806,Hamilton without Indian Valley,,1,8003,11,,
57,SunHol,57805,Novato without Indian Valley,,0,8003,16,,
71,SunHol,71827,Marin City,,1,8003,22,,
71,SunHol,71830,Novato,,0,8003,23,,
49,SunHol,49813,San Rafael,,1,8003,24,,
71,SunHol,71805,Marin City,,1,8004,22,,
71,SunHol,71808,Novato,,0,8004,23,,
71,SunHol,71815,Marin City,,1,8004,22,,
71,SunHol,71818,Novato,,0,8004,23,,
71,SunHol,71825,Marin City,,1,8004,22,,
71,SunHol,71828,Novato,,0,8004,23,,
71,SunHol,71835,Marin City,,1,8004,22,,
71,SunHol,71838,Novato,,0,8004,23,,
49,SunHol,49817,San Rafael,,1,8004,24,,
49,SunHol,49822,Novato,,0,8004,25,,
57,SunHol,57822,Hamilton without Indian Valley,,1,8004,11,,
57,SunHol,57821,Novato without Indian Valley,,0,8004,16,,
49,SunHol,49825,San Rafael,,1,8004,24,,
49,SunHol,49830,Novato,,0,8004,25,,
71,SunHol,71863,Marin City,,1,8004,22,,
71,SunHol,71862,Novato,,0,8004,23,,
71,SunHol,71807,Marin City,,1,8005,22,,
71,SunHol,71810,Novato,,0,8005,23,,
49,SunHol,49803,San Rafael,,1,8005,24,,
49,SunHol,49808,Novato,,0,8005,25,,
57,SunHol,57808,Hamilton without Indian Valley,,1,8005,11,,
57,SunHol,57807,Novato without Indian Valley,,0,8005,16,,
